id,name,venue_type,abbreviation,publisher,total_publications,faculty_publications,created_at,updated_at
122,Int. J. Biom.,journal,,,3,3,2026-01-31 22:35:57.073997,2026-01-31 22:36:09.812624
113,Neural Networks,journal,,,3,3,2026-01-31 22:35:56.970894,2026-01-31 22:36:09.941275
131,Int. J. Granul. Comput. Rough Sets Intell. Syst.,journal,,,1,1,2026-01-31 22:35:57.278324,2026-01-31 22:35:57.284004
134,"1st IEEE/ACM International Symposium on Big Data Computing, BDC
2014, London, UK, December 8-11, 2014",conference,,IEEE Computer Society,1,1,2026-01-31 22:35:57.306297,2026-01-31 22:35:57.324481
135,"Applications of Evolutionary Computation - 17th European Conference,
EvoApplications 2014, Granada, Spain, April 23-25, 2014, Revised Selected
Papers",conference,,Springer,1,1,2026-01-31 22:35:57.324702,2026-01-31 22:35:57.329801
136,"Proceedings of the 2014 Indian Conference on Computer Vision, Graphics
and Image Processing, ICVGIP'14, Bangalore, India, December 14-18,
2014",conference,,ACM,1,1,2026-01-31 22:35:57.334817,2026-01-31 22:35:57.338140
139,"FUZZ-IEEE 2013, IEEE International Conference on Fuzzy Systems,
Hyderabad, India, 7-10 July, 2013, Proceedings",conference,,IEEE,2,2,2026-01-31 22:35:57.439080,2026-01-31 22:35:57.452785
140,"Proceedings of the International Conference on Computational Science,
ICCS 2013, Barcelona, Spain, 5-7 June, 2013",conference,,Elsevier,1,1,2026-01-31 22:35:57.453004,2026-01-31 22:35:57.456925
141,"Multi-disciplinary Trends in Artificial Intelligence - 7th International
Workshop, MIWAI 2013, Krabi, Thailand, December 9-11, 2013. Proceedings",conference,,Springer,2,2,2026-01-31 22:35:57.464007,2026-01-31 22:35:57.474939
142,Fundam. Informaticae,journal,,,1,1,2026-01-31 22:35:57.486743,2026-01-31 22:35:57.490415
143,Int. J. Data Min. Model. Manag.,journal,,,1,1,2026-01-31 22:35:57.498585,2026-01-31 22:35:57.504003
144,"Algorithms and Architectures for Parallel Processing - 12th International
Conference, ICA3PP 2012, Fukuoka, Japan, September 4-7, 2012, Proceedings,
Part II",conference,,Springer,1,1,2026-01-31 22:35:57.516952,2026-01-31 22:35:57.520199
130,"Multi-disciplinary Trends in Artificial Intelligence - 10th International
Workshop, MIWAI 2016, Chiang Mai, Thailand, December 7-9, 2016,
Proceedings",conference,,Springer,4,4,2026-01-31 22:35:57.227909,2026-01-31 22:36:06.192400
145,"Distributed Computing and Internet Technology - 8th International
Conference, ICDCIT 2012, Bhubaneswar, India, February 2-4, 2012.
Proceedings",conference,,Springer,3,3,2026-01-31 22:35:57.526699,2026-01-31 22:36:07.532430
137,"Multi-disciplinary Trends in Artificial Intelligence - 8th International
Workshop, MIWAI 2014, Bangalore, India, December 8-10, 2014. Proceedings",conference,,Springer,9,9,2026-01-31 22:35:57.343396,2026-01-31 22:36:08.124452
133,Trans. Rough Sets,journal,,,2,2,2026-01-31 22:35:57.301765,2026-01-31 22:36:09.264849
132,Int. J. Pattern Recognit. Artif. Intell.,journal,,,3,3,2026-01-31 22:35:57.284200,2026-01-31 22:36:09.982307
147,"Networked Digital Technologies - 4th International Conference, NDT
2012, Dubai, UAE, April 24-26, 2012. Proceedings, Part I",conference,,Springer,1,1,2026-01-31 22:35:57.577369,2026-01-31 22:35:57.580333
148,"Rough Sets and Knowledge Technology - 7th International Conference,
RSKT 2012, Chengdu, China, August 17-20, 2012. Proceedings",conference,,Springer,2,2,2026-01-31 22:35:57.587999,2026-01-31 22:35:57.595740
149,"Proceedings of the Second International Conference on Soft Computing
for Problem Solving, SocProS 2012, December 28-30, 2012, JK Lakshmipat
University (JKLU), Jaipur, India",conference,,Springer,1,1,2026-01-31 22:35:57.611384,2026-01-31 22:35:57.615808
150,"Proceedings of the 2011 International Conference on Communication,
Computing & Security, ICCCS 2011, Odisha, India, February 12-14,
2011",conference,,ACM,1,1,2026-01-31 22:35:57.619038,2026-01-31 22:35:57.622062
116,"Rough Sets and Knowledge Technology - 6th International Conference,
RSKT 2011, Banff, Canada, October 9-12, 2011. Proceedings",conference,,Springer,4,4,2026-01-31 22:35:57.004514,2026-01-31 22:35:57.697987
151,Int. J. Medical Eng. Informatics,journal,,,1,1,2026-01-31 22:35:57.718612,2026-01-31 22:35:57.723030
153,"Proceedings of the 2010 International Conference on Grid Computing
& Applications, GCA 2010, July 12-15, 2010, Las Vegas, Nevada,
USA",conference,,CSREA Press,1,1,2026-01-31 22:35:57.744071,2026-01-31 22:35:57.756019
154,"10th International Conference on Intelligent Systems Design and Applications,
ISDA 2010, November 29 - December 1, 2010, Cairo, Egypt",conference,,IEEE,2,2,2026-01-31 22:35:57.769832,2026-01-31 22:35:57.795633
117,"Rough Set and Knowledge Technology - 5th International Conference,
RSKT 2010, Beijing, China, October 15-17, 2010. Proceedings",conference,,Springer,2,2,2026-01-31 22:35:57.011950,2026-01-31 22:35:57.812679
156,"Third Asia International Conference on Modelling & Simulation,
AMS 2009, Bandung, Bali, Indonesia, May 25-29, 2009",conference,,IEEE Computer Society,3,3,2026-01-31 22:35:57.812890,2026-01-31 22:35:57.841395
157,"IEEE Conference on Automation Science and Engineering, CASE 2009,
Bangalore, India, 22-25 August, 2011",conference,,IEEE,1,1,2026-01-31 22:35:57.848633,2026-01-31 22:35:57.856036
155,"Knowledge-Based and Intelligent Information and Engineering Systems
- 14th International Conference, KES 2010, Cardiff, UK, September
8-10, 2010, Proceedings, Part I",conference,,Springer,2,2,2026-01-31 22:35:57.795830,2026-01-31 22:36:05.394316
152,"Proceedings of the 1st Amrita ACM-W Celebration on Women in Computing
in India, September 16-17, 2010, Tamilnadu, India",conference,,ACM,3,3,2026-01-31 22:35:57.736026,2026-01-31 22:36:07.549459
146,"Multi-disciplinary Trends in Artificial Intelligence, 6th International
Workshop, MIWAI 2012, Ho Chi Minh City, Vietnam, December 26-28,
2012. Proceedings",conference,,Springer,4,4,2026-01-31 22:35:57.553558,2026-01-31 22:36:08.169204
85,"Multi-disciplinary Trends in Artificial Intelligence - 5th International
Workshop, MIWAI 2011, Hyderabad, India, December 7-9, 2011. Proceedings",conference,,Springer,15,15,2026-01-31 22:35:56.603125,2026-01-31 22:36:10.196887
159,"2009 IEEE Workshop on Hybrid Intelligent Models and Applications,
HIMA 2009, Nashville, TN, USA, March 30, 2009",conference,,IEEE,1,1,2026-01-31 22:35:57.919147,2026-01-31 22:35:57.926272
161,Eng. Lett.,journal,,,3,3,2026-01-31 22:35:57.931265,2026-01-31 22:35:57.977120
162,"14th IEEE International Conference on Electronics, Circuits, and
Systems, ICECS 2007, Marrakech, Morocco, December 11-14, 2007",conference,,IEEE,1,1,2026-01-31 22:35:57.983711,2026-01-31 22:35:57.994584
163,"Proceedings of the World Congress on Engineering, WCE 2007, London,
UK, 2-4 July, 2007",conference,,Newswood Limited,1,1,2026-01-31 22:35:58.005040,2026-01-31 22:35:58.012361
166,Internet Technol. Lett.,journal,,,1,1,2026-01-31 22:35:58.045212,2026-01-31 22:35:58.046872
168,ACM Trans. Auton. Adapt. Syst.,journal,,,1,1,2026-01-31 22:35:58.066032,2026-01-31 22:35:58.073114
169,IEEE Consumer Electron. Mag.,journal,,,1,1,2026-01-31 22:35:58.141271,2026-01-31 22:35:58.146112
171,Comput. Sci. Rev.,journal,,,1,1,2026-01-31 22:35:58.190266,2026-01-31 22:35:58.193606
172,Int. J. Netw. Manag.,journal,,,1,1,2026-01-31 22:35:58.239904,2026-01-31 22:35:58.242666
174,"44th IEEE International Conference on Distributed Computing Systems,
ICDCS 2024 - Workshops, Jersey City, NJ, USA, July 23, 2024",conference,,IEEE,1,1,2026-01-31 22:35:58.274484,2026-01-31 22:35:58.278842
170,Comput. Commun.,journal,,,2,2,2026-01-31 22:35:58.156928,2026-01-31 22:35:58.336621
175,Comput.,journal,,,1,1,2026-01-31 22:35:58.339640,2026-01-31 22:35:58.344628
177,IEEE Internet Comput.,journal,,,1,1,2026-01-31 22:35:58.400370,2026-01-31 22:35:58.405084
179,J. Ambient Intell. Humaniz. Comput.,journal,,,2,2,2026-01-31 22:35:58.483016,2026-01-31 22:35:58.503175
181,Big Data Cogn. Comput.,journal,,,1,1,2026-01-31 22:35:58.600592,2026-01-31 22:35:58.605827
164,Digit. Commun. Networks,journal,,,2,2,2026-01-31 22:35:58.017878,2026-01-31 22:35:58.633471
183,IEEE Trans. Ind. Informatics,journal,,,1,1,2026-01-31 22:35:58.688076,2026-01-31 22:35:58.693203
185,IEEE Trans. Parallel Distributed Syst.,journal,,,1,1,2026-01-31 22:35:58.715029,2026-01-31 22:35:58.720744
186,"IEEE 15th International Conference on Cloud Computing, CLOUD 2022,
Barcelona, Spain, July 10-16, 2022",conference,,IEEE,1,1,2026-01-31 22:35:58.739856,2026-01-31 22:35:58.743848
187,"IEEE International Conference on Edge Computing and Communications,
EDGE 2022, Barcelona, Spain, July 10-16, 2022",conference,,IEEE,1,1,2026-01-31 22:35:58.744037,2026-01-31 22:35:58.756038
189,Green Mobile Cloud Computing,conference,,Springer,1,1,2026-01-31 22:35:58.771865,2026-01-31 22:35:58.775788
188,"8th IEEE World Forum on Internet of Things, WF-IoT 2022, Yokohama,
Japan, October 26 - Nov. 11, 2022",conference,,IEEE,2,2,2026-01-31 22:35:58.756239,2026-01-31 22:36:02.114349
167,Sustain. Comput. Informatics Syst.,journal,,,2,2,2026-01-31 22:35:58.054805,2026-01-31 22:36:02.137419
180,IEEE Trans. Intell. Transp. Syst.,journal,,,2,2,2026-01-31 22:35:58.516077,2026-01-31 22:36:03.022193
160,"Rough Sets, Fuzzy Sets, Data Mining and Granular Computing, 12th International
Conference, RSFDGrC 2009, Delhi, India, December 15-18, 2009. Proceedings",conference,,Springer,2,2,2026-01-31 22:35:57.926468,2026-01-31 22:36:05.413207
158,"First International Conference on Computational Intelligence, Communication
Systems and Networks, CICSYN 2009, Indore, India, 23-25 July, 2009",conference,,IEEE Computer Society,4,4,2026-01-31 22:35:57.856225,2026-01-31 22:36:07.618827
190,"Big Data Analytics - 9th International Conference, BDA 2021, Virtual
Event, December 15-18, 2021, Proceedings",conference,,Springer,1,1,2026-01-31 22:35:58.835607,2026-01-31 22:35:58.839305
191,SICS Softw.-Intensive Cyber Phys. Syst.,journal,,,1,1,2026-01-31 22:35:58.929455,2026-01-31 22:35:58.941860
178,IEEE Internet Things J.,journal,,,5,5,2026-01-31 22:35:58.425058,2026-01-31 22:35:59.137832
194,"20th IEEE/ACM International Symposium on Cluster, Cloud and Internet
Computing, CCGRID 2020, Melbourne, Australia, May 11-14, 2020",conference,,IEEE,1,1,2026-01-31 22:35:59.204940,2026-01-31 22:35:59.210248
195,"Software Architecture - 14th European Conference, ECSA 2020 Tracks
and Workshops, L'Aquila, Italy, September 14-18, 2020, Proceedings",conference,,Springer,1,1,2026-01-31 22:35:59.210462,2026-01-31 22:35:59.217524
196,"46th Euromicro Conference on Software Engineering and Advanced Applications,
SEAA 2020, Portoroz, Slovenia, August 26-28, 2020",conference,,IEEE,1,1,2026-01-31 22:35:59.233675,2026-01-31 22:35:59.237522
197,"29th International Conference on Computer Communications and Networks,
ICCCN 2020, Honolulu, HI, USA, August 3-6, 2020",conference,,IEEE,1,1,2026-01-31 22:35:59.249119,2026-01-31 22:35:59.254626
198,"MOBILESoft '20: IEEE/ACM 7th International Conference on Mobile
Software Engineering and Systems, Seoul, Republic of Korea, July 13-15,
2020",conference,,ACM,1,1,2026-01-31 22:35:59.274821,2026-01-31 22:35:59.278034
199,"16th International Wireless Communications and Mobile Computing Conference,
IWCMC 2020, Limassol, Cyprus, June 15-19, 2020",conference,,IEEE,1,1,2026-01-31 22:35:59.289320,2026-01-31 22:35:59.293260
165,Internet Things,journal,,,2,2,2026-01-31 22:35:58.039906,2026-01-31 22:35:59.934971
193,J. Netw. Comput. Appl.,journal,,,2,2,2026-01-31 22:35:59.144210,2026-01-31 22:35:59.939466
173,J. Parallel Distributed Comput.,journal,,,3,3,2026-01-31 22:35:58.245790,2026-01-31 22:35:59.951430
200,IEEE Trans. Cloud Comput.,journal,,,1,1,2026-01-31 22:35:59.977781,2026-01-31 22:35:59.984820
201,"45th Euromicro Conference on Software Engineering and Advanced Applications,
SEAA 2019, Kallithea-Chalkidiki, Greece, August 28-30, 2019",conference,,IEEE,1,1,2026-01-31 22:36:00.031348,2026-01-31 22:36:00.039157
202,"Proceedings of the 21st International Conference on Information Integration
and Web-based Applications & Services, iiWAS 2019, Munich, Germany,
December 2-4, 2019",conference,,ACM,1,1,2026-01-31 22:36:00.039367,2026-01-31 22:36:00.044914
203,Fog and Edge Computing,conference,,Wiley,1,1,2026-01-31 22:36:00.045177,2026-01-31 22:36:00.049683
204,Encyclopedia of Big Data Technologies,conference,,Springer,1,1,2026-01-31 22:36:00.056186,2026-01-31 22:36:00.062055
207,"2018 IEEE International Conference on Cloud Computing Technology
and Science, CloudCom 2018, Nicosia, Cyprus, December 10-13, 2018",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.093425,2026-01-31 22:36:00.096166
182,J. Syst. Softw.,journal,,,6,6,2026-01-31 22:35:58.651733,2026-01-31 22:36:00.901208
206,Int. J. Pervasive Comput. Commun.,journal,,,4,4,2026-01-31 22:36:00.077228,2026-01-31 22:36:01.275447
263,"MDM 2009, Tenth International Conference on Mobile Data Management,
Taipei, Taiwan, 18-20 May 2009",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.459770,2026-01-31 22:36:01.465083
264,"Third International Conference on Internet and Web Applications and
Services, ICIW 2008, 8-13 June 2008, Athens, Greece",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.487007,2026-01-31 22:36:01.492022
265,"Proceedings of the 1st International Conference on MOBILe Wireless
MiddleWARE, Operating Systems, and Applications, MOBILWARE 2008,
Innsbruck, Austria, February 13 - 15, 2008",conference,,,1,1,2026-01-31 22:36:01.503896,2026-01-31 22:36:01.513402
266,"Proceedings of the 2nd Workshop on Middleware for Service Oriented
Computing, MW4SOC 2007, Newport Beach, CA, USA, November 26-30,
2007",conference,,ACM,1,1,2026-01-31 22:36:01.513686,2026-01-31 22:36:01.524461
267,"On the Move to Meaningful Internet Systems 2007: OTM 2007 Workshops,
OTM Confederated International Workshops and Posters, AWeSOMe, CAMS,
OTM Academy Doctoral Consortium, MONET, OnToContent, ORM, PerSys,
PPN, RDDS, SSWS, and SWWS 2007, Vilamoura, Portugal, November 25-30,
2007, Proceedings, Part I",conference,,Springer,1,1,2026-01-31 22:36:01.524732,2026-01-31 22:36:01.532689
268,"WEBIST 2007 - Proceedings of the Third International Conference
on Web Information Systems and Technologies, Volume IT, Barcelona,
Spain, March 3-6, 2007",conference,,INSTICC Press,1,1,2026-01-31 22:36:01.543544,2026-01-31 22:36:01.550905
269,"Advanced International Conference on Telecommunications and International
Conference on Internet and Web Applications and Services (AICT/ICIW
2006), 19-25 February 2006, Guadeloupe, French Caribbean",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.551121,2026-01-31 22:36:01.559186
184,IEEE Trans. Netw. Sci. Eng.,journal,,,3,3,2026-01-31 22:35:58.703443,2026-01-31 22:36:03.057509
138,Future Gener. Comput. Syst.,journal,,,11,11,2026-01-31 22:35:57.386676,2026-01-31 22:36:06.918102
205,Int. J. Cloud Comput.,journal,,,2,2,2026-01-31 22:36:00.071794,2026-01-31 22:36:09.633969
208,"Proceedings of the 12th European Conference on Software Architecture:
Companion Proceedings, ECSA 2018, Madrid, Spain, September 24-28,
2018",conference,,ACM,1,1,2026-01-31 22:36:00.099550,2026-01-31 22:36:00.106723
209,"Software Architecture - 12th European Conference on Software Architecture,
ECSA 2018, Madrid, Spain, September 24-28, 2018, Proceedings",conference,,Springer,1,1,2026-01-31 22:36:00.106931,2026-01-31 22:36:00.112528
210,"Proceedings of the 13th International Conference on Software Technologies,
ICSOFT 2018, Porto, Portugal, July 26-28, 2018",conference,,SciTePress,1,1,2026-01-31 22:36:00.112732,2026-01-31 22:36:00.120789
211,Computer,journal,,,1,1,2026-01-31 22:36:00.162226,2026-01-31 22:36:00.170150
176,ACM Comput. Surv.,journal,,,4,4,2026-01-31 22:35:58.382831,2026-01-31 22:36:00.178265
192,Int. J. Mob. Comput. Multim. Commun.,journal,,,2,2,2026-01-31 22:35:59.116590,2026-01-31 22:36:00.183089
213,"31st IEEE International Conference on Advanced Information Networking
and Applications, AINA 2017, Taipei, Taiwan, March 27-29, 2017",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.218150,2026-01-31 22:36:00.224390
214,"9th IEEE International Conference on Cloud Computing, CLOUD 2016,
San Francisco, CA, USA, June 27 - July 2, 2016",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.625938,2026-01-31 22:36:00.635301
215,"IEEE International Conference on Services Computing, SCC 2016,
San Francisco, CA, USA, June 27 - July 2, 2016",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.642810,2026-01-31 22:36:00.650309
216,"12th IEEE International Conference on Control and Automation, ICCA
2016, Kathmandu, Nepal, June 1-3, 2016",conference,,IEEE,1,1,2026-01-31 22:36:00.650514,2026-01-31 22:36:00.656736
217,"2016 IEEE International Conference on Internet of Things (iThings)
and IEEE Green Computing and Communications (GreenCom) and IEEE
Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data
(SmartData), Chengdu, China, December 15-18, 2016",conference,,IEEE,3,3,2026-01-31 22:36:00.675488,2026-01-31 22:36:00.705213
218,"Proceedings of the 13th International Conference on Mobile and Ubiquitous
Systems: Computing, Networking and Services, MobiQuitous 2016, Hiroshima,
Japan, November 28 - December 1, 2016",conference,,ACM,1,1,2026-01-31 22:36:00.705434,2026-01-31 22:36:00.714116
219,"17th International Conference on Parallel and Distributed Computing,
Applications and Technologies, PDCAT 2016, Guangzhou, China, December
16-18, 2016",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.714339,2026-01-31 22:36:00.722388
220,IEEE Commun. Mag.,journal,,,1,1,2026-01-31 22:36:00.722600,2026-01-31 22:36:00.729876
221,"8th IEEE International Conference on Cloud Computing, CLOUD 2015,
New York City, NY, USA, June 27 - July 2, 2015",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.778798,2026-01-31 22:36:00.796066
222,"2015 IEEE International Conference on Services Computing, SCC
2015, New York City, NY, USA, June 27 - July 2, 2015",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.796305,2026-01-31 22:36:00.804698
223,"21st IEEE International Conference on Parallel and Distributed Systems,
ICPADS 2015, Melbourne, Australia, December 14-17, 2015",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.804901,2026-01-31 22:36:00.813062
224,"2015 IEEE International Conference on Web Services, ICWS 2015,
New York, NY, USA, June 27 - July 2, 2015",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.813262,2026-01-31 22:36:00.820436
225,"2015 IEEE International Conference on Mobile Services, MS 2015,
New York City, NY, USA, June 27 - July 2, 2015",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.857994,2026-01-31 22:36:00.865418
226,Pervasive Mob. Comput.,journal,,,1,1,2026-01-31 22:36:00.901413,2026-01-31 22:36:00.909466
227,IEEE Pervasive Comput.,journal,,,1,1,2026-01-31 22:36:00.909673,2026-01-31 22:36:00.916309
228,"IEEE 6th International Conference on Cloud Computing Technology
and Science, CloudCom 2014, Singapore, December 15-18, 2014",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.936559,2026-01-31 22:36:00.940899
229,"2014 International Conference on Future Internet of Things and Cloud,
FiCloud 2014, Barcelona, Spain, August 27-29, 2014",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.941255,2026-01-31 22:36:00.946204
357,Signal Image Video Process.,journal,,,1,1,2026-01-31 22:36:03.513533,2026-01-31 22:36:03.517830
358,"22nd IEEE International Conference on Trust, Security and Privacy
in Computing and Communications, TrustCom 2024, Exeter, UK, November
1-3, 2023",conference,,IEEE,1,1,2026-01-31 22:36:03.518032,2026-01-31 22:36:03.521731
359,Int. J. Digit. Crime Forensics,journal,,,1,1,2026-01-31 22:36:03.545190,2026-01-31 22:36:03.548950
361,Comput. Sci.,journal,,,1,1,2026-01-31 22:36:03.568099,2026-01-31 22:36:03.571157
362,Concurr. Comput. Pract. Exp.,journal,,,1,1,2026-01-31 22:36:03.574239,2026-01-31 22:36:03.577069
360,PeerJ Comput. Sci.,journal,,,2,2,2026-01-31 22:36:03.551832,2026-01-31 22:36:03.583220
363,Clust. Comput.,journal,,,1,0,2026-01-31 22:36:03.623325,2026-01-31 22:36:03.628480
364,Trans. Mach. Learn. Res.,journal,,,1,1,2026-01-31 22:36:03.641306,2026-01-31 22:36:03.649634
365,"The Thirteenth International Conference on Learning Representations,
ICLR 2025, Singapore, April 24-28, 2025",conference,,OpenReview.net,2,2,2026-01-31 22:36:03.689616,2026-01-31 22:36:03.769345
366,"Medical Image Computing and Computer Assisted Intervention - MICCAI
2025 - 28th International Conference, Daejeon, South Korea, September
23-27, 2025, Proceedings, Part IV",conference,,Springer,1,1,2026-01-31 22:36:03.792714,2026-01-31 22:36:03.798203
356,Computing,journal,,,4,4,2026-01-31 22:36:03.491199,2026-01-31 22:36:06.255527
212,IEEE Trans. Serv. Comput.,journal,,,2,2,2026-01-31 22:36:00.195307,2026-01-31 22:36:10.035220
230,"2014 IEEE International Conference on High Performance Computing
and Communications, 6th IEEE International Symposium on Cyberspace
Safety and Security, 11th IEEE International Conference on Embedded
Software and Systems, HPCC/CSS/ICESS 2014, Paris, France, August
20-22, 2014",conference,,IEEE,1,1,2026-01-31 22:36:00.946417,2026-01-31 22:36:00.951827
231,"International Conference on High Performance Computing & Simulation,
HPCS 2014, Bologna, Italy, 21-25 July, 2014",conference,,IEEE,2,2,2026-01-31 22:36:00.952025,2026-01-31 22:36:00.960220
232,"2nd IEEE International Conference on Mobile Cloud Computing, Services,
and Engineering, MobileCloud 2014, Oxford, United Kingdom, April 8-11,
2014",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.966855,2026-01-31 22:36:00.974068
233,"Proceedings of the 13th International Conference on Mobile and Ubiquitous
Multimedia, Melbourne, VIC, Australia, November 25-28, 2014",conference,,ACM,2,2,2026-01-31 22:36:00.974272,2026-01-31 22:36:00.987118
234,"2014 IEEE International Conference on Pervasive Computing and Communication
Workshops, PerCom 2014 Workshops, Budapest, Hungary, March 24-28,
2014",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:00.997105,2026-01-31 22:36:01.004708
235,Advanced Web Services,conference,,Springer,1,1,2026-01-31 22:36:01.004917,2026-01-31 22:36:01.008289
236,"13th IEEE/ACM International Symposium on Cluster, Cloud, and Grid
Computing, CCGrid 2013, Delft, Netherlands, May 13-16, 2013",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.050600,2026-01-31 22:36:01.081938
237,"2013 IEEE International Conference on Software Maintenance, Eindhoven,
The Netherlands, September 22-28, 2013",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.082235,2026-01-31 22:36:01.089029
238,"International Conference on High Performance Computing & Simulation,
HPCS 2013, Helsinki, Finland, July 1-5, 2013",conference,,IEEE,2,2,2026-01-31 22:36:01.106766,2026-01-31 22:36:01.135598
239,"Proceeding of the fourth ACM workshop on Mobile cloud computing
and services, MCS 2013, Taipei, Taiwan, June 25-28, 2013",conference,,ACM,2,2,2026-01-31 22:36:01.135830,2026-01-31 22:36:01.152369
240,"The 11th Annual International Conference on Mobile Systems, Applications,
and Services, MobiSys'13, Taipei, Taiwan, June 25-28, 2013",conference,,ACM,1,1,2026-01-31 22:36:01.152732,2026-01-31 22:36:01.158837
241,"Second Nordic Symposium on Cloud Computing & Internet Technologies,
NordiCloud '13, Oslo, Norway, September 1-3, 2013",conference,,ACM,1,1,2026-01-31 22:36:01.162709,2026-01-31 22:36:01.169196
242,"IEEE/ACM 6th International Conference on Utility and Cloud Computing,
UCC 2013, Dresden, Germany, December 9-12, 2013",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.169487,2026-01-31 22:36:01.179785
243,Serv. Oriented Comput. Appl.,journal,,,1,1,2026-01-31 22:36:01.204202,2026-01-31 22:36:01.213888
244,"14th IEEE International Conference on High Performance Computing
and Communication & 9th IEEE International Conference on Embedded
Software and Systems, HPCC-ICESS 2012, Liverpool, United Kingdom,
June 25-27, 2012",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.214122,2026-01-31 22:36:01.224192
245,"Service-Oriented Computing - 10th International Conference, ICSOC
2012, Shanghai, China, November 12-15, 2012. Proceedings",conference,,Springer,1,1,2026-01-31 22:36:01.224427,2026-01-31 22:36:01.232642
246,"9th IEEE International Conference on Mobile Ad-Hoc and Sensor Systems,
MASS 2012, Las Vegas, NV, USA, October 8-11, 2012",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.232848,2026-01-31 22:36:01.238073
247,"Research in Applied Computation Symposium, RACS '12, San Antonio,
TX, USA, October 23-26, 2012",conference,,ACM,1,1,2026-01-31 22:36:01.238329,2026-01-31 22:36:01.244012
248,"2012 Joint Working IEEE/IFIP Conference on Software Architecture
and European Conference on Software Architecture, WICSA/ECSA 2012,
Helsinki, Finland, August 20-24, 2012 - Companion Volume",conference,,ACM,1,1,2026-01-31 22:36:01.244269,2026-01-31 22:36:01.250515
249,"Proceedings of the 3rd International Conference on Ambient Systems,
Networks and Technologies (ANT 2012), the 9th International Conference
on Mobile Web Information Systems (MobiWIS-2012), Niagara Falls, Ontario,
Canada, August 27-29, 2012",conference,,Elsevier,1,1,2026-01-31 22:36:01.262168,2026-01-31 22:36:01.271725
250,Sci. Program.,journal,,,1,1,2026-01-31 22:36:01.275737,2026-01-31 22:36:01.280598
251,"CLOSER 2011 - Proceedings of the 1st International Conference on
Cloud Computing and Services Science, Noordwijkerhout, Netherlands,
7-9 May, 2011",conference,,SciTePress,1,1,2026-01-31 22:36:01.295274,2026-01-31 22:36:01.300881
252,"2011 International Conference on High Performance Computing & Simulation,
HPCS 2012, Istanbul, Turkey, July 4-8, 2011",conference,,IEEE,1,1,2026-01-31 22:36:01.301163,2026-01-31 22:36:01.311185
253,"iiWAS'2011 - The 13th International Conference on Information Integration
and Web-based Applications and Services, 5-7 December 2011, Ho Chi
Minh City, Vietnam",conference,,ACM,1,1,2026-01-31 22:36:01.311426,2026-01-31 22:36:01.319399
254,"MoMM'2011 - The Nineth International Conference on Advances in Mobile
Computing and Multimedia, 5-7 December 2011, Ho Chi Minh City, Vietnam",conference,,ACM,1,1,2026-01-31 22:36:01.319611,2026-01-31 22:36:01.327914
255,"5th International Conference on Next Generation Mobile Applications,
Services and Technologies, NGMAST 2011, Cardiff, United Kingdom,
September 14-16, 2011",conference,,IEEE,1,1,2026-01-31 22:36:01.328129,2026-01-31 22:36:01.336184
256,"On the Move to Meaningful Internet Systems: OTM 2011 - Confederated
International Conferences: CoopIS, DOA-SVI, and ODBASE 2011, Hersonissos,
Crete, Greece, October 17-21, 2011, Proceedings, Part II",conference,,Springer,1,1,2026-01-31 22:36:01.336386,2026-01-31 22:36:01.344356
257,"Applications, Tools and Techniques on the Road to Exascale Computing,
Proceedings of the conference ParCo 2011, 31 August - 3 September
2011, Ghent, Belgium",conference,,IOS Press,1,1,2026-01-31 22:36:01.344561,2026-01-31 22:36:01.353075
258,"IEEE 4th International Conference on Utility and Cloud Computing,
UCC 2011, Melbourne, Australia, December 5-8, 2011",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:01.353292,2026-01-31 22:36:01.361884
259,"Proceedings of the 2nd International Conference on Ambient Systems,
Networks and Technologies (ANT 2011), the 8th International Conference
on Mobile Web Information Systems (MobiWIS-2011), Niagara Falls, Ontario,
Canada, September 19-21, 2011",conference,,Elsevier,1,1,2026-01-31 22:36:01.362094,2026-01-31 22:36:01.370133
